parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,143000,-5.6833032e-06,0.03102552,0.6694336,-0.7973633,0.02371716,0.020001968,0.7973633,5.9604645e-08
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,142000,-0.0002312928,0.099204674,1.1738281,-0.86279297,0.064643964,0.075197086,1.1738281,4.374981e-05
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,143000,-0.00023350678,0.099057354,1.171875,-0.8618164,0.06454783,0.075085536,1.171875,3.08156e-05
gpt_neox.layers.5.input_layernorm.weight,142000,2.117797,2.0604913,21.90625,0.8334961,2.117797,2.0604913,21.90625,0.8334961
gpt_neox.layers.5.input_layernorm.weight,143000,2.1213026,2.0642617,21.953125,0.83447266,2.1213026,2.0642617,21.953125,0.83447266
gpt_neox.layers.5.input_layernorm.bias,142000,0.07249264,0.36299786,2.2050781,-2.6523438,0.24278128,0.27923968,2.6523438,0.00046801567
gpt_neox.layers.5.input_layernorm.bias,143000,0.07278415,0.3636834,2.2089844,-2.6582031,0.2432696,0.27978137,2.6582031,0.0006580353
gpt_neox.layers.5.post_attention_layernorm.weight,142000,1.5952673,0.17419824,2.5605469,0.97021484,1.5952673,0.17419824,2.5605469,0.97021484
gpt_neox.layers.5.post_attention_layernorm.weight,143000,1.5971136,0.17436303,2.5644531,0.9711914,1.5971136,0.17436303,2.5644531,0.9711914
gpt_neox.layers.5.post_attention_layernorm.bias,142000,0.07887089,0.2664894,0.84716797,-0.60009766,0.22966914,0.15619935,0.84716797,0.0006365776
gpt_neox.layers.5.post_attention_layernorm.bias,143000,0.07937235,0.26696795,0.84814453,-0.6015625,0.23021673,0.15646318,0.84814453,1.1742115e-05
gpt_neox.layers.5.attention.query_key_value.weight,142000,-1.8522484e-05,0.1411046,2.2128906,-2.1171875,0.070916265,0.12198929,2.2128906,0.0
gpt_neox.layers.5.attention.query_key_value.weight,143000,-1.8116198e-05,0.14070393,2.2089844,-2.1035156,0.07069877,0.121652275,2.2089844,5.9604645e-08
gpt_neox.layers.5.attention.query_key_value.bias,142000,-0.100341775,27.023102,62.46875,-63.0625,13.734958,23.269855,63.0625,9.953976e-06
gpt_neox.layers.5.attention.query_key_value.bias,143000,-0.100450635,27.045055,62.5,-63.125,13.746208,23.288704,63.125,7.838011e-05
gpt_neox.layers.5.attention.dense.weight,142000,8.239713e-07,0.016526176,0.08703613,-0.089904785,0.013072811,0.010110163,0.089904785,5.9604645e-08
gpt_neox.layers.5.attention.dense.weight,143000,6.286932e-07,0.016495258,0.088256836,-0.09008789,0.013050163,0.01008891,0.09008789,5.9604645e-08
gpt_neox.layers.5.attention.dense.bias,142000,0.00042471197,0.09040732,0.46655273,-0.44848633,0.06653349,0.061141606,0.46655273,8.8214874e-05
gpt_neox.layers.5.attention.dense.bias,143000,0.00042767636,0.09043884,0.46655273,-0.44848633,0.06657522,0.061142735,0.46655273,3.6239624e-05
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,142000,0.0003091439,0.029020485,0.5703125,-0.24731445,0.022627085,0.01817412,0.5703125,5.9604645e-08
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,143000,0.00031298125,0.028920531,0.5708008,-0.24328613,0.022546329,0.018115124,0.5708008,0.0
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,142000,-0.062919974,0.17150642,1.234375,-0.8881836,0.14384222,0.112581596,1.234375,0.00018024445
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,143000,-0.06288975,0.17160401,1.2353516,-0.8876953,0.14389047,0.11265169,1.2353516,5.0723553e-05
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,142000,1.7476163e-05,0.0367129,0.8955078,-0.71728516,0.02858146,0.023042062,0.8955078,5.9604645e-08
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,143000,1.8223094e-05,0.03658136,0.88964844,-0.7128906,0.028482448,0.022955295,0.88964844,0.0
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,142000,0.00042471197,0.09040732,0.46655273,-0.44848633,0.06653349,0.061141606,0.46655273,8.8214874e-05
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,143000,0.00042767636,0.09043884,0.46655273,-0.44848633,0.06657522,0.061142735,0.46655273,3.6239624e-05
gpt_neox.final_layer_norm.weight,142000,13.325699,2.1509974,22.6875,8.703125,13.325699,2.1509974,22.6875,8.703125
gpt_neox.final_layer_norm.weight,143000,13.421173,2.1545036,22.78125,8.7734375,13.421173,2.1545036,22.78125,8.7734375
gpt_neox.final_layer_norm.bias,142000,0.14552143,9.091331,18.40625,-17.796875,8.657505,2.7521696,18.40625,0.0025806427
gpt_neox.final_layer_norm.bias,143000,0.14506117,9.182873,18.5,-17.890625,8.751678,2.757621,18.5,0.001789093
embed_out.weight,142000,1.3912907e-05,0.13607241,0.328125,-0.34350586,0.13196377,0.033185277,0.34350586,0.0
embed_out.weight,143000,-1.4136766e-06,0.13654141,0.32739258,-0.34326172,0.13247769,0.03306387,0.34326172,4.172325e-07
